institution,program
University of Waterloo,Architecture
University of Victoria,Astronomy
York University,Astronomy
Western University,Astronomy
Western University,Astrophysics
Queen's University,Astrophysics
McGill University ,Atmospheric & Oceanic Studies
University of Waterloo,Atmospheric and Planetary Science
University of British Columbia - Vancouver Campus,Atmospheric Sciences
University of Waterloo,"Bachelor of Mathematics, Statistics"
Mount Saint Vincent University,Bachelor of Science (Science Communication)
University of Calgary,Bachelor of Science in Environmental Science
Simon Fraser University,Behavioral Neuroscience
University of British Columbia - Vancouver Campus,Behavioural Neurosciences
Western University,Biochemistry and Cell Biology
Western University,Biochemistry and Chemistry
University of Victoria,Biochemistry and Chemistry
University of Regina,Biochemistry and Chemistry
University of Victoria,Biochemistry and Microbiology
University of British Columbia - Okanagan Campus,Biochemistry and Molecular Biology
Western University,Biochemistry of Infection and Immunity
Western University,Biochemistry of Pathology of Human Disease
University of Alberta,Biochemistry
Queen's University,Biochemistry
University of Winnipeg,Biochemistry
Queen's University,Biochemistry
McMaster University,Biochemistry
Brock University,Biochemistry
University of Victoria,Biochemistry
University of Manitoba,Biochemistry
Simon Fraser University,Biochemistry
University of Waterloo,Biochemistry
Dalhousie University,Biochemistry
Wilfrid Laurier University,Biochemistry
University of Toronto,Biochemistry
Carleton University,Biochemistry
University of British Columbia - Vancouver Campus,Biochemistry
University of Guelph,Biochemistry
University of Lethbridge,Biochemistry
University of Ottawa,Biochemistry
Western University,Biochemistry
McGill University ,Biochemistry
Western University,Biodiversity and Conservation
Western University,Bioinformatics
Simon Fraser University,Bioinformatics
Langara College,BioInformatics
Carleton University,Bioinformatics
University of Guelph,Biological & Medical Physics
University of Guelph,Biological and Pharmaceutical Chemistry
Ontario Tech University,Biological Science/Biological Science and Management
University of Lethbridge,"Biological Sciences (including Zoology, Microbiology and Botany)"
University of Manitoba,Biological Sciences
University of Alberta,Biological Sciences
Simon Fraser University,Biology - Cell and Molecular
Simon Fraser University,Biology - Ecology
Simon Fraser University,Biology - Physiology
University of Waterloo,Biology and Bioinformatics
University of Victoria,Biology and Earth and Ocean Sciences (Environment)
University of Victoria,Biology and Earth and Ocean Sciences (Paleontology)
University of Victoria,Biology and Mathematics and Statistics
Queen's University,Biology and Mathematics
McMaster University,Biology and Pharmacology
Queen's University,Biology and Psychology
University of Victoria,Biology and Psychology
Wilfrid Laurier University,Biology
University of Northern British Columbia,Biology
Simon Fraser University,Biology
Trinity Western University,Biology
Carleton University,Biology
Acadia University,Biology
University of New Brunswick - Fredericton Campus,Biology
University of British Columbia - Vancouver Campus,Biology
St. Francis Xavier University,Biology
University of Ottawa,Biology
University of the Fraser Valley,Biology
University of Victoria,Biology
University of Waterloo,Biology
Memorial University of Newfoundland,Biology
University of British Columbia - Okanagan Campus,Biology
Dalhousie University,Biology
Brandon University,Biology
University of Prince Edward Island,Biology
St. Francis Xavier University,Biology
Queen's University,Biology
St. Francis Xavier University,Biology
Saint Mary's University,Biology
Toronto Metropolitan University (formerly Ryerson University) ,Biology
Simon Fraser University,Biology
University of Winnipeg,Biology
University of Regina,Biology
York University,Biology
Redeemer University,Biology
McGill University ,Biology
Western University,Biology
Burman University,Biology
Simon Fraser University,Biomedical Physiology
University of Ottawa,Biomedical Science
Toronto Metropolitan University (formerly Ryerson University) ,Biomedical Science
University of Guelph,Biomedical Toxicology
University of Ottawa,Biopharmaceutical Science
University of British Columbia - Vancouver Campus,Biophysics
Simon Fraser University,Biophysics
York University,Biophysics
Western University,Biophysics
University of Waterloo,Biostatistics
University of Waterloo,Biotechnology / Chartered Accountancy
University of Manitoba,Biotechnology
British Columbia Institute of Technology (BCIT),Biotechnology
Simon Fraser University,Biotechnology
Brock University,Biotechnology
Brock University,Biotechnology
University of British Columbia - Vancouver Campus,Biotechnology
University of Ottawa,Biotechnology
Queen's University,Biotechnology
Carleton University,Biotechnology
University of Waterloo,Biotechnology/Economics
University of Waterloo,"Business Administration (Options in Economics, Finance, Human Resources Management)"
University of Waterloo,Business Administration
University of Alberta,Cell Biology
Western University,Cell Biology
University of British Columbia - Vancouver Campus,Cellular and Physiological Sciences
University of Waterloo,"Chartered Accountancy (Options in Actuarial Science, Finance, Information Systems and Operations Research)"
University of Waterloo,Chartered Professional Accountancy
McMaster University,Chemical Biology
Western University,Chemical Biology
Simon Fraser University,Chemical Physics
University of Guelph,Chemical Physics
University of Victoria,Chemistry and Earth and Ocean Sciences
University of Victoria,Chemistry and Mathematics
Brandon University,Chemistry
University of Prince Edward Island,Chemistry
University of the Fraser Valley,Chemistry
University of Waterloo,Chemistry
University of British Columbia - Okanagan Campus,Chemistry
University of Victoria,Chemistry
Thompson Rivers University,Chemistry
University of Manitoba,Chemistry
University of Northern British Columbia,Chemistry
Simon Fraser University,Chemistry
Trinity Western University,Chemistry
Concordia University of Montreal,Chemistry
University of Ottawa,Chemistry
Dalhousie University,Chemistry
Carleton University,Chemistry
Acadia University,Chemistry
University of New Brunswick - Fredericton Campus,Chemistry
University of British Columbia - Vancouver Campus,Chemistry
University of Guelph,Chemistry
University of Lethbridge,Chemistry
Wilfrid Laurier University,Chemistry
Saint Mary's University,Chemistry
Toronto Metropolitan University (formerly Ryerson University) ,Chemistry
McMaster University,Chemistry
University of Toronto,Chemistry
Brock University,Chemistry
Ontario Tech University,Chemistry
Queen's University,Chemistry
University of Alberta,Chemistry
York University,Chemistry
Redeemer University,Chemistry
University of Toronto,Chemistry
Western University,Chemistry
McGill University ,Chemistry
University of Victoria,Climate Science
University of British Columbia - Vancouver Campus,Cognitive Systems
University of Waterloo,Combinatorics and Optimization
Western University,Computational Biochemistry
University of Waterloo,Computational Mathematics
Simon Fraser University,Computational Methods
Western University,Computer Algebra
Memorial University of Newfoundland,Computer Industry - Internship option
University of Winnipeg,Computer Information Systems
Vancouver Island University,Computer Science 
University of Manitoba,Computer Science 
Toronto Metropolitan University (formerly Ryerson University) ,Computer Science 
Wilfrid Laurier University,Computer Science 
University of Calgary,Computer Science 
University of Northern British Columbia,Computer Science 
York University,Computer Science 
University of Toronto,Computer Science 
McGill University ,Computer Science 
University of Lethbridge,Computer Science 
Lakehead University,Computer Science 
University of Lethbridge,Computer Science & Geographical Information Science
University of Waterloo,Computer Science - Bioinformatics Option
University of Waterloo,Computer Science - Business Option
University of Waterloo,Computer Science - Computational Fine Arts Option
University of Waterloo,Computer Science - Digital Hardware Option
University of Waterloo,Computer Science - Human-Computer Interaction Option
University of Waterloo,Computer Science / Software Engineering
University of Victoria,Computer Science and Mathematics
University of Victoria,Computer Science and Physics
University of Victoria,Computer Science and Statistics
University of Victoria,Computer Science
Wilfrid Laurier University,Computer Science
University of Waterloo,Computer Science
Western University,Computer Science
St. Francis Xavier University,Computer Sciences
St. Francis Xavier University,Computer Sciences
York University,Computer Security
Wilfrid Laurier University,Computing and Business
Wilfrid Laurier University,Computing and Computer Electronics
Saint Mary's University,Computing Science and Business Administration
Ontario Tech University,Computing Science
Simon Fraser University,Computing Science
University of Alberta,Computing Science
University of British Columbia - Okanagan Campus,Computing Science
Western University,Conceptual Astronomy
Trent University - Peterborough Campus,Conservation Biology Co-op Program
Toronto Metropolitan University (formerly Ryerson University) ,Contemporary Science
University of Guelph,Crop Science
University of Waterloo,Data Science
Simon Fraser University,Data Science
University of British Columbia - Okanagan Campus,Data Science
Western University,Data Science
Ontario Tech University,Digital Media
Simon Fraser University,Discrete Mathematics
McMaster University,Earth & Environmental Science
University of British Columbia - Okanagan Campus,Earth & Environmental Science
McGill University ,Earth & Planetary Sciences
University of Alberta,Earth and Atmospheric Sciences
York University,Earth and Atmospheric Sciences
University of British Columbia - Vancouver Campus,Earth and Ocean Sciences
Brock University,Earth Sciences - Environmental Geoscience
University of Waterloo,Earth Sciences - Geology
University of Waterloo,Earth Sciences - Geophysics
University of Waterloo,Earth Sciences - Geoscience
University of Waterloo,Earth Sciences - Hydrogeology
St. Francis Xavier University,Earth Sciences
University of Calgary,Earth Sciences
University of Windsor,Earth Sciences
Brock University,Earth Sciences
Simon Fraser University,Earth Sciences
Dalhousie University,Earth Sciences
Carleton University,Earth Sciences
University of Victoria,Earth Sciences
Western University,Earth Sciences
Queen's University,Earth System Science
British Columbia Institute of Technology (BCIT),Ecological Restoration
University of British Columbia - Okanagan Campus,Ecology and Evolutionary Biology
University of Calgary,Ecology
University of Victoria,Economics (Finance Option)
Memorial University of Newfoundland,Economics
University of Victoria,Economics
Dalhousie University,Economics
University of British Columbia - Okanagan Campus,Economics
Western University,Ecosystem Health
McGill University ,Environment
University of Alberta,Environmental and Conservation Sciences
Queen's University,Environmental Biology
University of Windsor,Environmental Biology
University of British Columbia - Okanagan Campus,Environmental Chemistry
Queen's University,Environmental Chemistry
Queen's University,Environmental Geology
University of Guelph,Environmental Geomatics
Acadia University,Environmental Geoscience
Western University,Environmental Geoscience
Queen's University,Environmental Life Science
University of Guelph,Environmental Management
University of Northern British Columbia,Environmental Planning
Redeemer University,Environmental Science & Studies
Queen's University,Environmental Science
Mount Royal University,Environmental Science
Carleton University,Environmental Science
Acadia University,Environmental Science
University of Northern British Columbia,Environmental Science
Simon Fraser University,Environmental Science
Brandon University,Environmental Science
University of Lethbridge,Environmental Science
University of Toronto,Environmental Science
Dalhousie University,Environmental Science
University of Waterloo,Environmental Science
University of British Columbia - Vancouver Campus,Environmental Science
University of Ottawa,Environmental Science
Western University,Environmental Science
McMaster University,Environmental Sciences
Saint Mary's University,Environmental Studies
Trinity Western University,Environmental Studies
University of Victoria,Environmental Studies
University of Prince Edward Island,Environmental Studies
Queen's University,Environmental Toxicology
Western University,Epidemiology and Biostatistics
University of Guelph,Equine Management
University of Lethbridge,Exercise Science
University of Waterloo,Financial Analysis & Risk Management (FARM)
University of Waterloo,Financial Analysis and Risk Management (FARM) - Chartered Financial Analyst Specialization
University of Waterloo,Financial Analysis and Risk Management (FARM) - Professional Risk Management Specialization
University of Victoria,Financial Mathematics and Economics
University of Ottawa,Financial Mathematics and Economics
Toronto Metropolitan University (formerly Ryerson University) ,Financial Mathematics
University of Prince Edward Island,Financial Mathematics
Wilfrid Laurier University,Financial Mathematics
Western University,Financial Modelling
University of Guelph,Food Industry Management
Carleton University,Food Science and Nutrition
University of Guelph,Food Science
Trent University - Peterborough Campus,Forensic Biology
Trent University - Peterborough Campus,Forensic Chemistry
Trent University - Peterborough Campus,Forensic Science
University of British Columbia - Vancouver Campus,Forensic Science
University of British Columbia - Vancouver Campus,Forestry Sciences
Lakehead University,Forestry
University of British Columbia - Okanagan Campus,Freshwater Science
Western University,Game Development
University of Lethbridge,General Major Sciences
University of Waterloo,General Mathematics (3 year program)
University of Northern British Columbia,General Science
University of British Columbia - Vancouver Campus,General Science
University of British Columbia - Okanagan Campus,General Science
Western University,Genetics and Biochemistry
University of Manitoba,Genetics
Western University,Genetics
Simon Fraser University,Geographic Information Science
University of Lethbridge,Geographic Information Systems (GIS)
McMaster University,Geography & Environmental Studies
University of Lethbridge,Geography (Including Geology/Water Resources)
University of Victoria,Geography and Computer Science (Geomatics) 
Brandon University,Geography
University of Calgary,Geography
Brock University,Geography
University of Victoria,Geography
Saint Mary's University,Geography
Queen's University,Geography
Trinity Western University,"Geography, Planning and Geographic Information Systems"
University of Victoria,"Geography, Planning and Geographic Information Systems"
University of Victoria,"Geography, Planning and Geographic Information Systems"
University of Winnipeg,"Geography, Planning and Geographic Information Systems"
University of Northern British Columbia,"Geography, Planning and Geographic Information Systems"
McGill University ,"Geography, Planning and Geographic Information Systems"
University of Ottawa,Geology - Earth Sciences
Western University,Geology and Biology
Western University,Geology
Queen's University,Geology
Saint Mary's University,Geology
University of Regina,Geology
Laurentian University,Geology
Acadia University,Geology
University of New Brunswick - Fredericton Campus,Geology
Brandon University,Geology
Brandon University,Geomatics
Carleton University,Geomatics
Western University,Geophysics
Western University,Geophysics
University of Victoria,Health Information Science and Computer Science
University of Victoria,Health Information Science
Ontario Tech University,Health Physics and Radiation Science
Simon Fraser University,Health Sciences
University of Waterloo,Health Studies and Gerontology
University of Waterloo,Health Studies
Western University,High Performance Computing
University of Guelph,Honours Agriculture
University of Guelph,Horticulture
University of Alberta,Human Ecology
St. Francis Xavier University,Human Nutrition
St. Francis Xavier University,Human Nutrition
University of Alberta,Immunology and Infection
University of Guelph,Indigenous Environmental Science and Practice
Simon Fraser University,Industrial Mathematics/Operations Research
Western University,Information Systems
University of Waterloo,Information Technology Management
Western University,Integrated Science with Biology
Western University,Integrated Science with Chemistry
Western University,Integrated Science with Computer Science
Western University,Integrated Science with Earth Sciences
Western University,Integrated Science with Environmental Sciences
Western University,Integrated Science with Genetics
Western University,Integrated Science with Mathematics
Western University,Integrated Science with Physics
University of British Columbia - Vancouver Campus,Integrated Sciences
Western University,Interdisciplinary Medical Sciences
University of Toronto,International Development Studies
Queen's University,Kinesiology 
University of Victoria,Kinesiology 
Simon Fraser University,Kinesiology 
Wilfrid Laurier University,Kinesiology and Physical Education
University of Lethbridge,Kinesiology and Physical Education
Redeemer University,Kinesiology
University of British Columbia - Vancouver Campus,Land and food Systems
University of Waterloo,Life Physics
McMaster University,Life Sciences
Queen's University,Life Sciences
Ontario Tech University,Life Sciences/Life Sciences and Management
University of Victoria,Linguistics
University of Calgary,Manufacturing Engineering
University of Guelph,Marine and Freshwater Biology
Dalhousie University,Marine Biology
University of Waterloo,Materials and Nanosciences
Western University,Materials Science
Western University,Mathematical and Numerical Methods
University of Waterloo,Mathematical Economics
University of Waterloo,Mathematical Finance
University of Waterloo,Mathematical Optimization (Business Specialization)
University of Waterloo,"Mathematical Optimization (Operations Research Specialization), "
University of Waterloo,Mathematical Physics
Queen's University,Mathematical Physics
Simon Fraser University,Mathematical Physics
Western University,Mathematical Sciences
University of Waterloo,Mathematical Sciences
University of Toronto,Mathematical Sciences
University of British Columbia - Okanagan Campus,Mathematical Sciences
University of Waterloo,Mathematical Studies  (Business Specialization)
Toronto Metropolitan University (formerly Ryerson University) ,Mathematics & its Applications
York University,Mathematics & Statistics
University of Waterloo,Mathematics / Business Administration
University of Waterloo,Mathematics / Business Administration
Brock University,Mathematics and Computer Science
Simon Fraser University,Mathematics and Computing Science
University of Alberta,Mathematics and Statistical Sciences
McMaster University,Mathematics and Statistics
Acadia University,Mathematics and Statistics
University of Victoria,Mathematics and Statistics
University of Regina,Mathematics and Statistics
University of the Fraser Valley,Mathematics and Statistics
McGill University ,Mathematics and Statistics
Western University,Mathematics in Society
Brock University,Mathematics Integrated with Computer Applications with a Concentration in Statistics
University of Waterloo,Mathematics Teaching Option
University of Victoria,Mathematics
Lakehead University,Mathematics
University of British Columbia - Okanagan Campus,Mathematics
University of British Columbia - Vancouver Campus,Mathematics
University of Lethbridge,Mathematics
University of Ottawa,Mathematics
Dalhousie University,Mathematics
Wilfrid Laurier University,Mathematics
University of New Brunswick - Fredericton Campus,Mathematics
University of Northern British Columbia,Mathematics
Simon Fraser University,Mathematics
Lakehead University,Mathematics
Lakehead University,Mathematics
University of Prince Edward Island,Mathematics
St. Francis Xavier University,Mathematics
University of Toronto,Mathematics
Brock University,Mathematics
Queen's University,Mathematics
University of Toronto,Mathematics
St. Francis Xavier University,Mathematics
Western University,Mathematics
University of Waterloo,Mathematics/Chartered Professional Accountancy (Option in Finance)
Brandon University,Mathmatics & Computer Science
McMaster University,Medical & Biological Physics
Western University,Medical Biophysics and Biochemistry
Western University,Medical Biophysics
Western University,Medical Cell Biology
Western University,Medical Health Informatics
Western University,Medical Physics
Toronto Metropolitan University (formerly Ryerson University) ,Medical Physics
Western University,Medical Physics
Western University,Medical Sciences
Western University,Medical Sciences
University of Waterloo,Medicinal Chemistry
University of Toronto,Mental Health Studies
Dalhousie University,Microbiology & Immunology
University of British Columbia - Vancouver Campus,Microbiology & Immunology
Western University,Microbiology & Immunology
McGill University ,Microbiology & Immunology
University of Victoria,Microbiology and Chemistry
Western University,Microbiology and Immunology with Pathology
Western University,Microbiology and Immunology
University of British Columbia - Okanagan Campus,Microbiology
University of Manitoba,Microbiology
University of Guelph,Microbiology
University of Victoria,Microbiology
University of Toronto,Molecular Biology & Biotechnology
McMaster University,Molecular Biology & Genetics
University of Guelph,Molecular Biology and Genetics
University of British Columbia - Okanagan Campus,Molecular Cell and Developmental Biology
University of Guelph,Nanoscience
University of Northern British Columbia,Natural Resource Management - Resource Recreation
University of British Columbia - Vancouver Campus,Natural Resources Conservation
University of Northern British Columbia,Natural Resources Management - Forestry
University of Northern British Columbia,Natural Resources Management - Wildlife and Fisheries
Brock University,Neuroscience (Concentrations in Neurobiology and Neuropsychology)
Brock University,Neuroscience -  Neurobiology Stream
Brock University,Neuroscience -  Neuromotor Stream
Brock University,Neuroscience -  Neuropsychology Stream
Carleton University,Neuroscience and Mental Health
Brock University,Neuroscience
Western University,Neuroscience
University of Alberta,Neuroscience
University of Lethbridge,Neuroscience
Carleton University,Neuroscience
University of Toronto,Neuroscience
University of Guelph,Neuroscience
Acadia University,Nutrition and Dietetics
University of Alberta,Nutrition and Food Sciences
St. Francis Xavier University,Nutrition
St. Francis Xavier University,Nutrition
University of Guelph,Nutritional & Nutraceutical Science
Western University,One Health
University of Waterloo,Operational Research
Dalhousie University,Other
Western University,Pathology
Ontario Tech University,Pharmaceutical Chemistry
Western University,Pharmacology & Pathology
University of British Columbia - Vancouver Campus,Pharmacology
Western University,Pharmacology
University of Alberta,Pharmacology
University of Toronto,"Pharmacology, Toxicology & Pharmaceutical Chemistry"
Douglas College,Physical Education - Teaching
University of Victoria,Physical Geography and Earth and Ocean Sciences
University of the Fraser Valley,Physical Geography
University of Manitoba,Physical Geography
Simon Fraser University,Physical Geography
Carleton University,Physical Geography
MacEwan University,Physical Sciences Major
York University,Physics & Astronomy
Brandon University,Physics & Astronomy
University of Victoria,Physics & Astronomy
University of Victoria,Physics & Earth Sciences (Geophysics)
University of Victoria,Physics & Mathematics
University of Victoria,Physics & Ocean Sciences
University of Lethbridge,Physics (Including Pre-Engineering and Astronomy)
University of British Columbia - Vancouver Campus,Physics and Astronomy
University of Waterloo,Physics and Astronomy
University of British Columbia - Okanagan Campus,Physics and Astronomy
University of Victoria,Physics and Biochemistry
University of Victoria,Physics and Computer Science
University of Windsor,Physics and High Technology
University of Victoria,Physics and Ocean Science (Physical Oceangraphy)
Western University,Physics of Materials
York University,Physics
University of Toronto,Physics
University of Alberta,Physics
Queen's University,Physics
University of British Columbia - Okanagan Campus,Physics
Ontario Tech University,Physics
McMaster University,Physics
Dalhousie University,Physics
University of Prince Edward Island,Physics
Lakehead University,Physics
Acadia University,Physics
Brock University,Physics
University of New Brunswick - Fredericton Campus,Physics
University of Guelph,Physics
University of Victoria,Physics
Concordia University of Montreal,Physics
University of Regina,Physics
University of Waterloo,Physics
University of Northern British Columbia,Physics
Simon Fraser University,Physics
University of Ottawa,Physics
Western University,Physics
McGill University ,Physics
Western University,Physiology and Pharmacology
Western University,Physiology
University of Alberta,Physiology
McGill University ,Physiology
Western University,Planetary Science and Space Exploration
University of Guelph,Plant Science
University of British Columbia - Vancouver Campus,Psychology (Biopsychology)
University of Victoria,Psychology and Computer Science
University of Toronto,Psychology
Acadia University,Psychology
University of Lethbridge,Psychology
University of Victoria,Psychology
University of Northern British Columbia,Psychology
Memorial University of Newfoundland,Psychology
University of British Columbia - Okanagan Campus,Psychology
University of Waterloo,Psychology
Queen's University,Psychology
University of Alberta,Psychology
Saint Mary's University,Psychology
University of Waterloo,"Pure Math (Options in Finance,Teaching and Engineering Electives)"
University of Waterloo,Pure Mathematics / Teaching
University of Waterloo,Pure Mathematics
Simon Fraser University,Pure Mathematics
University of Lethbridge,Remote Sensing
University of Waterloo,Science & Business
University of Waterloo,Scientific Computation/Applied Math
Western University,Scientific Computing and Numerical Methods
York University,Space and Communication Sciences
Simon Fraser University,Spatial Information Systems
University of New Brunswick - Fredericton Campus,Statistics
University of British Columbia - Vancouver Campus,Statistics
University of Prince Edward Island,Statistics
University of Victoria,Statistics
Dalhousie University,Statistics
University of Waterloo,Statistics
Queen's University,Statistics
University of British Columbia - Okanagan Campus,Statistics
University of Toronto,Statistics
University of Manitoba,Statistics
Simon Fraser University,Statistics
Western University,Statistics
Western University,Synthetic Biology
Western University,Theoretical Computer Science
Western University,Theoretical Physics
University of Guelph,Wildlife Biology and Conservation
University of British Columbia - Vancouver Campus,Wood Products Processing
University of British Columbia - Okanagan Campus,Zoology
Western University,Anthropology
University of Ottawa,Anthropology
Seneca College,Child Development
University of Ottawa,Civil law and International development and Globalization
Western University,Communication
Ontario Tech University,Communications and Digital Media Studies
Conestoga College,Community and Criminal Justice
Humber College,Criminal Justice
Ontario Tech University,Criminology and Justice
Western University,Criminology
University of Ottawa,Criminology
Western University,Demography
Algonquin College of Applied Arts and Technology (Ottawa),Early Learning and Community Development
Conestoga College,Early Learning Program Development
University of Ottawa,Economics and Public Policies
University of Ottawa,Economics
Western University,Economics
University of Ottawa,Environmental Economics & Policy
Ontario Tech University,Forensic Psychology
Western University,Geography
Carleton University,Global and International Studies 
Western University,History
Brock University,History
Sheridan College,Honours Bachelor of Creative Writing & Publishing
University of Ottawa,International Development and Globalization
University of Ottawa,International Economics and Development
University of Ottawa,International Studies and Modern Languages
Ontario Tech University,Legal Studies
Western University,Management & Organizational Studies - Accounting
Western University,Management & Organizational Studies - Aviation
Western University,Management & Organizational Studies - Finance
Western University,Management & Organizational Studies - Human Resources
Western University,Management & Organizational Studies - Management & Legal Studies
Western University,Management & Organizational Studies - Marketing
University of Regina,Police Studies
Brock University,Political Science - Public Administration
Ontario Tech University,Political Science
Western University,Political Science
University of Ottawa,Political Science
Western University,Psychology
University of Ottawa,Public Administration
York University,Social Work Practicum
Wilfrid Laurier University,Social Work
Dalhousie University,Social Work
Carleton University,Social Work
Western University,Sociology
University of Ottawa,Sociology
Concordia University of Montreal,Sociology
Western University,Sustainability
Western University,Urban planning
University of Ottawa,Women's Studies
Nova Scotia Community College,Baking & Baking Art
Nova Scotia Community College,Culinary Skills
Nova Scotia Community College,Diesel Repair Industrial Marine
Nova Scotia Community College,Marine Industrial Rigging
Nova Scotia Community College,Plumbing
Northern Alberta Institute of Technology (NAIT),Water and Wastewater
Herzing College,Broadcasting and Media Communications
Nova Scotia Community College,Cabinetmaking
Okanagan College ,Culinary Arts
Red River College,Culinary Skills Indigenous
Red River College,Culinary Skills International
Red River College,Hospitality and Tourism Management 
Capilano University,Legal Administrative Assistant
Red River College,Professional Baking & Pastry
Nova Scotia Community College,Autobody & Collision Repair
Nova Scotia Community College,Automotive Service & Repair
Nova Scotia Community College,Gas Technician
Nova Scotia Community College,Heavy Equipment Operator
Nova Scotia Community College,Industrial Mechanical
Nova Scotia Community College,Marine Mechanical Technician
Nova Scotia Community College,Motorcycle & Power Products Repair
Nova Scotia Community College,Refrigeration & Air Conditioning Geothermal
Nova Scotia Community College,Refrigeration & Air Conditioning
Nova Scotia Community College,Steamfitting/Pipefitting
Nova Scotia Community College,Utility Line Work Construction & Maintenance
Southern Alberta Institute of Technology (SAIT),Water and Wastewater Treatment Operations
Nova Scotia Community College,Cannabis Cultivation
Nova Scotia Community College,Carpentry
Herzing College,Computer Networking Technology
Georgian College  ,Museum and Gallery Studies
Nova Scotia Community College,Music Business
NorQuest College,Accounting Technician
Herzing College,Administrative Assistant
NorQuest College,Administrative Professional
Nicola Valley Institute of Technology,Administrative Studies Certificate
Herzing College,Business Administration
Fanshawe College,Business Analysis
Nova Scotia Community College,Business Fundamentals
Seneca College,Cannabis Regulation and Quality Assurance
Seneca College,Government Relations
Lambton College,Hospitality Management - International
Nova Scotia Community College,Medical Office Administration
St. Lawrence College of Applied Arts and Technology,Office Administration - General
Nicola Valley Institute of Technology,Office Administration Certificate
Portage College - Lac La Biche Campus,Office Administration
Camosun College - Interurban Campus,Office Administration
Nova Scotia Community College,Office Administration
Fanshawe College,Supply Chain Management - Logistics
Conestoga College,Sustainable Business Management
Nova Scotia Community College,Tourism Hospitality
Herzing College,Accounting and Payroll Administrator
Portage College - Lac La Biche Campus,Accounting technician
Herzing College,Supply Chain Management and Logistics
Camosun College - Lansdowne Campus,Live Event and Audio-Visual Technician
Humber College,Professional Writing and Communications
Camosun College - Interurban Campus,Computer Network Electronics Technician
Lambton College,Computer Software and Database Development
Seneca College,Cybersecurity
Lambton College,Education Technology and Instructional Design
Camosun College - Interurban Campus,Information and Computer Systems Technician
Nova Scotia Community College - Aviation Institute - Dartmouth Gate,Aircraft Maintenance Engineer (Structures)
Confederation College,Engineering Business & Safety Management
Camosun College - Interurban Campus,Engineering Graphics Technician
Seneca College,Mechanical Technician - CNC Programming
Nicola Valley Institute of Technology,Environmental Resources Technology Certificate
Nova Scotia Community College,Continuing Care
Nova Scotia Community College,Dental Assisting Level II
Herzing College,Medical Office Assistant
Nova Scotia Community College,Law & Security
Herzing College,Legal Assistant
Nova Scotia Community College,Paralegal Services
Herzing College,Community Support Worker
Herzing College,Occupational Health and Safety
Nova Scotia Community College,Brick and Stone Masonry 
Nova Scotia Community College,Bridge Watch Rating
Nova Scotia Community College,Electrical Construction & Industrial - Certificate
Nova Scotia Community College,Oil Heat Systems Technician
Trillium College,Personal Support Worker
Georgian College  ,Aboriginal - Community and Social Development
College of New Caledonia,Accounting and Finance
Seneca College,Accounting and Finance
Selkirk College,Accounting and Finance
Heritage College,Accounting and Management Technology (Business Administration)
Seneca College,Accounting and Payroll
Douglas College,Accounting Management
University of Manitoba,Agriculture
Memorial University of Newfoundland,Aquaculture
Fleming College,Arboriculture
 Saskatchewan Polytechnic,Architectural and Building Technologies
 Saskatchewan Polytechnic,Architectural and Interior Technologies
Algonquin College of Applied Arts and Technology (Ottawa),Architectural Technician
Georgian College  ,Architectural Technician
Georgian College  ,Architectural Technology
Sheridan College,Architectural Technology
Algonquin College of Applied Arts and Technology (Ottawa),Architectural Technology
Douglas College,Arts
British Columbia Institute of Technology (BCIT),Auto Collision Refinishing Technician
British Columbia Institute of Technology (BCIT),Auto Collision Repair Technician
Centennial College,Automation: Robotics Technology
British Columbia Institute of Technology (BCIT),Automotive Service Technician
Georgian College  ,Aviation Management
Seneca College,Aviation Operations
Seneca College,Aviation Safety
Seneca College,Biotechnology advanced
Algonquin College of Applied Arts and Technology (Ottawa),Biotechnology
Centennial College,Biotechnology
McGill University ,Biotechnology
 Saskatchewan Polytechnic,Business - Information Systems
Georgian College  ,Business Accounting
Centennial College,Business Administration - Accounting
Georgian College  ,Business Administration - Accounting
George Brown College,Business Administration - Accounting
George Brown College,Business Administration - Financial Management
Georgian College  ,Business Administration - Human Resources Management
George Brown College,Business Administration - Human Resources
Centennial College,Business Administration - Leadership & Management
Georgian College  ,Business Administration - Marketing
Conestoga College,Business Administration - Marketing
George Brown College,Business Administration - Marketing
George Brown College,Business Administration
Humber College,Business Administration
Georgian College  ,Business Administration
Douglas College,Business Management
Langara College,Business Management
Georgian College  ,Business
Georgian College  ,Business
Red River College,Cabinetry and Woodworking
Seneca College,Chemical Laboratory Technology - Pharmaceutical
New Brunswick Community College (NBCC) - Moncton Campus,Chemical Technology
New Brunswick Community College (NBCC) - Saint-John Campus,Chemical Technology
Southern Alberta Institute of Technology (SAIT),Chemical Technology
Eastern College - Saint John Campus,Child and Youth Care with Addictions Support Worker
"Eastern College St John's, NL",Child and Youth Care with Addictions Support Worker
"Eastern College (Charlottetown, PE)",Child and Youth Care with Addictions Support Worker
Eastern College - Fredericton Campus,Child and Youth Care with Addictions Support Worker
"Eastern Academy (St. John's, NL)",Child and Youth Care with Addictions Support Worker
Eastern College - Moncton Campus,Child and Youth Care with Addictions Support Worker
Confederation College,Civil Engineering Technology
Douglas College,Commerce
Humber College,Community and Justice Services
Nova Scotia Community College,Community Recreation
Thompson Rivers University,Computer Automated Systems Technician - Electronics
Sheridan College,Computer Engineering Technology
